	trait1	trait2	trait3	trait4	trait5	trait6	trait7	trait8	trait9	trait10	trait11	trait12	trait13	trait14	trait15	trait16	trait17	trait18	trait19	trait20
sp1	50	45	2	3	1	0	0	0	0	1	0	1	0	1	0	0	1	1	1	1
sp2	50	35	2	3	1	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1
sp3	35	15	2	4	0	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1
sp4	50	50	2	5	0	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1
sp5	50	300	2	12	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0
sp6	50	75	2	10	1	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0
sp7	70	4500	4	11	1	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0
sp8	102	25	3	18	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1
sp9	123	30	4	20	1	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1
sp10	160	16	4	10	1	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0
sp11	58	900	4	9	1	0	1	0	1	1	1	1	0	1	0	1	0	1	0	0
sp12	55	750	3	9	1	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0
sp13	65	750	1	9	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0
sp14	70	750	3	9	1	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0
sp15	80	3400	4	11	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0
sp16	90	24	1	7	0	1	0	0	0	1	1	1	0	1	0	0	1	0	0	1
sp17	120	150	2	12	0	1	0	0	1	0	1	1	0	1	0	0	1	0	0	1
sp18	45	1100	2	15	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0
sp19	45	1000	2	12	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0
sp20	58	1000	3	6	1	0	1	1	0	1	1	1	0	1	1	1	0	0	1	1
sp21	39	1000	2	15	1	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0
sp22	85	250	4	8	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1
sp23	90	460	2	12	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1
sp24	80	300	3	14	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1
sp25	100	250	3	10	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1
sp26	110	180	3	20	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1
sp27	150	17500	3	10	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1
sp28	140	2	3	10	0	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0
sp29	120	133	3	20	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1
sp30	100	2500	3	12	1	0	0	0	0	1	0	1	0	1	0	1	1	1	0	0
sp31	80	1740	2	10	1	0	0	0	0	1	0	1	0	1	0	1	1	1	0	0
sp32	90	6000	3	10	1	0	0	0	0	1	1	1	0	1	0	1	1	1	0	0
sp33	50	170	2	15	1	0	1	0	1	1	0	1	0	1	0	1	0	1	1	1
sp34	63	3000	2	12	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1
sp35	78,5	5500	2	8	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1
sp36	120	6500	2	14	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1
sp37	70	5400	2	10	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1
sp38	55	7160	3	10	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	1
sp39	150	6835	2,5	8,5	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0
sp40	72,5	5500	2,5	9	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1
sp41	29,5	1300	1,5	10	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1
sp42	27	70	15,6	68,5	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1
sp43	100	10000	2	10	1	0	0	0	1	1	1	1	0	1	0	1	0	1	1	0
sp44	100	16000	3	14	1	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0
sp45	80	1750	3	11	1	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0
sp46	90	1800	3	10	1	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0
sp47	80	1000	3	10	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1
sp48	70	320	3	11	1	0	1	0	1	0	1	1	0	1	1	0	0	1	0	1
sp49	72,5	300	3	10	1	0	0	0	1	1	1	1	0	1	1	0	0	1	0	1
sp50	75	400	3	10	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1
sp51	48,5	150	3	10	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1
sp52	80	4500	2,5	10	1	0	0	0	1	1	1	1	0	1	0	1	1	1	0	1
sp53	147,5	1	3	10	0	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0
sp54	200	2	5	20	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0
sp55	160	1	5,5	20	0	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0
sp56	250	2	4,5	20	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0
sp57	85	45	4,5	12	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0
sp58	98,31	10	4,5	8	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0
sp59	112,5	10	4	7	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0
sp60	135	30	2	3,6	0	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0
sp61	116,5	10	4	7,5	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0
sp62	116	10	3,5	6	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0
sp63	110	10	4	7	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0
sp64	98	10	4,5	17	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0
sp65	111,25	10	3	10	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0
sp66	160	300	4	10	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1
sp67	160	300	4	9	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1
sp68	130	2500	2	10	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	1
